case,df_index,model,feature,value,shap,base_value
3_m2_fixes_fp,5022147,M2,from_g_pagerank,3.402428665069366e-07,-1.144221276989847,-6.330572602670499
3_m2_fixes_fp,5022147,M2,from_g_in_degree,2.0,-0.27678385523118776,-6.330572602670499
3_m2_fixes_fp,5022147,M2,from_g_out_degree,1.0,-0.27396895465484705,-6.330572602670499
3_m2_fixes_fp,5022147,M2,from_g_in_weighted,44972.14000000002,-0.0460857773006137,-6.330572602670499
3_m2_fixes_fp,5022147,M2,from_g_out_weighted,1627354.05,-0.2864702284237137,-6.330572602670499
3_m2_fixes_fp,5022147,M2,from_g_clustering,0.0,-0.018439798205799888,-6.330572602670499
3_m2_fixes_fp,5022147,M2,from_g_net_flow,-1582381.91,-0.11986941518516687,-6.330572602670499
3_m2_fixes_fp,5022147,M2,from_g_two_hop_out,0.0,-0.3629140295469551,-6.330572602670499
3_m2_fixes_fp,5022147,M2,to_g_pagerank,4.028565708263413e-06,0.0958884450251935,-6.330572602670499
3_m2_fixes_fp,5022147,M2,to_g_in_degree,2.0,-0.17456104369775857,-6.330572602670499
3_m2_fixes_fp,5022147,M2,to_g_out_degree,0.0,-0.011372564302728278,-6.330572602670499
3_m2_fixes_fp,5022147,M2,to_g_in_weighted,1838099.71,-0.6727674833621131,-6.330572602670499
3_m2_fixes_fp,5022147,M2,to_g_out_weighted,187768.64,-0.13900444720115046,-6.330572602670499
3_m2_fixes_fp,5022147,M2,to_g_clustering,0.0,-0.004322079189587384,-6.330572602670499
3_m2_fixes_fp,5022147,M2,to_g_net_flow,1650331.0699999998,-0.6799908803925792,-6.330572602670499
3_m2_fixes_fp,5022147,M2,to_g_two_hop_out,0.0,-0.09072242780297529,-6.330572602670499
4_m2_breaks_illicit,2313434,M1,Amount Received,2103.57,0.706166590625362,-6.121311574536939
4_m2_breaks_illicit,2313434,M1,Amount Paid,2103.57,0.3486891023658973,-6.121311574536939
4_m2_breaks_illicit,2313434,M1,From Bank,21749.0,0.2698505604923412,-6.121311574536939
4_m2_breaks_illicit,2313434,M1,To Bank,15.0,0.3606107353528205,-6.121311574536939
4_m2_breaks_illicit,2313434,M1,Receiving Currency,0.0,-0.3373536975428578,-6.121311574536939
4_m2_breaks_illicit,2313434,M1,Payment Currency,0.0,0.4016140804500901,-6.121311574536939
4_m2_breaks_illicit,2313434,M1,Payment Format,0.0,6.448781065622898,-6.121311574536939
4_m2_breaks_illicit,2313434,M1,hour,13.0,0.4117229644617328,-6.121311574536939
4_m2_breaks_illicit,2313434,M1,day_of_week,5.0,0.5984097352312528,-6.121311574536939
4_m2_breaks_illicit,2313434,M1,is_weekend,1.0,0.12091992669797037,-6.121311574536939
4_m2_breaks_illicit,2313434,M2,Amount Received,2103.57,0.22668235621356872,-6.330572602670499
4_m2_breaks_illicit,2313434,M2,Amount Paid,2103.57,-0.14055217974928383,-6.330572602670499
4_m2_breaks_illicit,2313434,M2,From Bank,21749.0,0.07338458452402846,-6.330572602670499
4_m2_breaks_illicit,2313434,M2,To Bank,15.0,0.351811068638126,-6.330572602670499
4_m2_breaks_illicit,2313434,M2,Receiving Currency,0.0,-0.14203979622907353,-6.330572602670499
4_m2_breaks_illicit,2313434,M2,Payment Currency,0.0,0.15775093746808125,-6.330572602670499
4_m2_breaks_illicit,2313434,M2,Payment Format,0.0,4.677198381975759,-6.330572602670499
4_m2_breaks_illicit,2313434,M2,hour,13.0,0.24511027475236916,-6.330572602670499
4_m2_breaks_illicit,2313434,M2,day_of_week,5.0,0.41404889074736273,-6.330572602670499
4_m2_breaks_illicit,2313434,M2,is_weekend,1.0,0.06883593930047936,-6.330572602670499
4_m2_breaks_illicit,2313434,M2,from_g_pagerank,7.89460429111127e-07,-0.22150446113781072,-6.330572602670499
4_m2_breaks_illicit,2313434,M2,from_g_in_degree,11.0,0.17094868802232668,-6.330572602670499
4_m2_breaks_illicit,2313434,M2,from_g_out_degree,1.0,-0.04770573733017955,-6.330572602670499
4_m2_breaks_illicit,2313434,M2,from_g_in_weighted,97417.43999999999,0.057771456293558,-6.330572602670499
4_m2_breaks_illicit,2313434,M2,from_g_out_weighted,2869.79,0.6970339903786953,-6.330572602670499
4_m2_breaks_illicit,2313434,M2,from_g_clustering,0.0,-0.011638854077609721,-6.330572602670499
4_m2_breaks_illicit,2313434,M2,from_g_net_flow,94547.65,0.2704446205656859,-6.330572602670499
4_m2_breaks_illicit,2313434,M2,from_g_two_hop_out,0.0,-0.6552834898636501,-6.330572602670499
4_m2_breaks_illicit,2313434,M2,to_g_pagerank,9.961379294975327e-07,0.011124384305730928,-6.330572602670499
4_m2_breaks_illicit,2313434,M2,to_g_in_degree,0.0,-1.9715943284519017,-6.330572602670499
4_m2_breaks_illicit,2313434,M2,to_g_out_degree,7.0,-0.5790179299211013,-6.330572602670499
4_m2_breaks_illicit,2313434,M2,to_g_in_weighted,381583.8099999998,-0.16004712580703198,-6.330572602670499
4_m2_breaks_illicit,2313434,M2,to_g_out_weighted,474308.2999999996,-0.08835695491041407,-6.330572602670499
4_m2_breaks_illicit,2313434,M2,to_g_clustering,0.0,-0.0021771964725485304,-6.330572602670499
4_m2_breaks_illicit,2313434,M2,to_g_net_flow,-92724.48999999976,0.18658215975025086,-6.330572602670499
4_m2_breaks_illicit,2313434,M2,to_g_two_hop_out,26.0,0.34657968194864225,-6.330572602670499
